coorte,test,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,ALG,data_ALG,ANII,data_ANII,MP,data_MP,PC,data_PC,BDSI,data_BDSI,CPS,data_CPS,FIS,data_FIS,SO,data_SO,CAL,data_CAL,IT,data_IT,CS,data_CS,IUM,data_IUM,RETI,data_RETI,CAz,data_CAz
2010,17,180,159,26,28,2011-06-15,28,2011-08-30,27,2011-07-11,28,2012-07-31,23,2011-07-05,0,2011-09-22,24,2012-01-17,28,2012-07-31,23,2012-09-07,30,2012-03-06,29,2012-07-16,30,2013-07-01,0,0,27,2012-10-05,0,0,31,2014-01-20,19,2013-07-31,0,0,26,2013-03-04,0,2013-06-11
2010,14,63,57,21,22,2011-07-22,0,0,27,2013-09-23,18,2012-01-20,0,0,0,2011-05-17,22,2012-01-13,0,0,0,0,19,2014-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-07
2010,20,147,132,25,28,2011-07-06,0,0,23,2012-02-23,23,2013-09-19,21,2011-09-19,0,0000-00-00,0,0,0,0,30,2012-06-15,0,0,22,2012-06-26,0,0,0,0000-00-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,14,180,159,26,30,2011-06-15,27,2011-08-30,28,2011-06-20,23,2013-01-22,20,2011-07-07,0,2011-06-23,30,2012-01-19,18,2013-01-22,28,2012-06-15,27,2012-03-06,28,2012-06-26,30,2013-06-10,0,0,25,2012-09-25,0,0,25,2013-02-13,23,2013-06-18,0,0,27,2013-01-30,0,2013-02-07
2010,17,42,36,25,25,2011-06-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,17,135,129,23,25,2012-01-18,0,0,26,2013-01-16,24,2013-01-23,20,2011-07-26,0,0,18,2012-02-22,18,2013-01-23,0,0,21,2014-02-04,24,2013-07-26,26,2013-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-07-09
2010,21,180,159,28,30,2011-06-15,28,2011-09-13,30,2011-06-20,30,2012-09-17,28,2011-07-05,0,2011-11-29,30,2012-01-13,28,2012-09-17,30,2012-09-07,24,2012-03-06,30,2012-07-16,21,2012-09-13,0,0,27,2012-10-05,0,0,30,2013-09-23,22,2013-06-18,0,0,26,2013-03-04,0,2014-02-07
2010,17,180,159,26,30,2011-07-06,25,2012-02-19,26,2011-09-23,30,2011-06-10,23,2011-07-26,0,2013-10-28,26,2012-01-13,0,0,28,2012-01-23,27,2012-09-22,27,2012-06-26,29,2013-06-10,0,0,28,2012-09-25,27,2013-09-09,23,2014-02-06,23,2013-07-19,0,0,28,2013-01-30,0,2013-09-17
2010,9,21,18,22,22,2011-09-21,0,0,0,0,0,0,0,0,0,0000-00-00,21,2012-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,18,180,159,28,28,2011-06-15,31,2012-02-19,31,2011-07-22,30,2014-02-28,27,2011-09-19,0,2013-11-11,31,2012-09-20,27,2014-02-28,31,2013-01-11,28,2012-03-06,31,2013-09-19,31,2013-07-01,0,0,27,2012-09-25,21,2013-07-22,30,2014-01-20,22,2013-07-31,0,0,28,2013-01-30,0,2014-02-07
2010,16,69,66,23,23,2011-07-06,26,2013-06-12,26,2011-06-20,24,2012-02-24,0,0,0,2012-03-20,0,0,0,0,0,0,19,2013-02-26,0,0,0,0,0,0,21,2014-02-03,0,0,0,0,0,0,0,0,0,0,0,0
2010,10,174,159,24,25,2011-07-06,22,2012-09-20,25,2011-09-23,24,2014-02-27,0,0,0,0,19,2013-02-05,0,0,24,2012-02-10,30,2013-07-19,0,0,0,0,0,0,24,2013-02-27,0,0,0,0,0,0,0,0,0,0,0,2013-08-01
2010,20,24,24,27,27,2011-06-15,0,0,27,2011-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,15,3,,,0,0,0,0,0,0,0,0,0,0,0,2011-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,12,78,78,20,18,2011-07-26,0,0,18,2012-07-25,25,2013-07-01,0,0,0,0,0,0,18,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,15,30,30,24,26,2011-07-26,0,0,25,2012-02-23,0,0,0,0,0,0,22,2012-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10,63,60,20,24,2011-09-21,0,0,0,0,20,2013-09-19,18,2013-09-10,0,2014-03-05,18,2012-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,14,42,36,24,25,2011-07-06,0,0,25,2012-09-20,0,0,0,0,0,2011-05-10,21,2012-02-22,0,0,24,2013-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-07-09
2010,18,36,12,30,0,0,0,0,0,0000-00-00,30,2011-07-26,0,0,0,0000-00-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000-00-00,0,0000-00-00
2011,18,180,159,25,23,2013-02-19,30,2013-07-08,24,2013-01-16,26,2013-07-16,28,2014-01-13,0,2013-10-22,19,2013-03-04,18,2013-07-16,25,2014-07-02,25,2014-02-04,29,2014-01-21,28,2013-06-10,0,0,25,2014-02-03,28,2014-06-10,21,2015-02-24,23,2014-06-18,0,0,30,2015-01-22,0,2015-01-20
2011,14,12,12,27,0,0,0,0,0,0,27,2012-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,180,159,22,24,2014-02-17,0,0,22,2012-07-25,24,2013-07-16,26,2014-01-13,0,2012-11-13,20,2013-02-25,18,2013-07-16,25,2014-06-05,25,2014-02-04,21,2014-01-30,19,2013-07-01,0,0,23,2015-02-25,0,0,0,0,18,2014-07-24,0,0,0,0,0,0
2011,12,27,24,22,23,2012-09-18,0,0,20,2012-09-20,0,0,0,0,0,2013-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,171,159,25,28,2012-07-11,25,2013-07-08,28,2012-09-20,28,2014-06-30,22,2012-09-13,0,0000-00-00,24,2015-01-16,27,2014-06-30,26,2015-01-20,26,2014-02-04,0,0,21,2014-01-08,25,2014-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,14,82,74,25,25,2012-09-21,0,0,0,0,26,2013-02-07,0,0,0,2014-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,60,57,23,25,2012-09-21,20,2012-06-18,22,2012-09-20,26,2012-09-21,22,2012-07-12,0,2012-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,13,177,159,25,28,2012-07-31,25,2012-07-17,30,2012-06-21,30,2015-01-14,25,2013-02-06,0,0,26,2014-10-28,30,2015-01-14,24,2013-06-26,20,2014-02-04,28,2013-06-28,23,2013-06-10,0,0,25,2013-09-25,0,0,0,0,19,2015-03-02,0,0,28,2014-03-06,0,0
2011,16,156,150,23,23,2012-07-11,21,2013-02-18,22,2012-07-25,20,2014-08-01,20,2013-07-04,0,2012-01-19,26,2014-01-16,18,2014-08-01,24,2014-01-22,27,2013-02-19,21,2014-09-26,21,2014-07-14,0,0,22,2013-09-25,0,0,0,0,0,0,0,0,27,2015-01-22,0,0
2011,0,81,75,23,25,2012-06-19,0,0,22,2012-07-10,24,2014-07-14,0,0,0,2013-03-04,21,2014-09-23,18,2014-07-14,25,2013-09-11,26,2013-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-09-05
2011,20,3,,,0,0,0,0,0,0,0,0,0,0,0,2012-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,16,27,24,23,20,2012-09-18,0,0,25,2013-07-31,0,0,0,0,0,2012-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,20,36,36,26,27,2012-09-18,0,0,27,2012-09-20,24,2012-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,180,159,24,30,2012-06-22,25,2013-01-18,28,2012-07-10,30,2013-07-16,21,2013-07-30,0,0,21,2013-10-03,18,2013-07-16,25,2015-01-20,19,2013-10-01,26,2013-09-20,23,2013-06-10,0,0,27,2014-01-30,24,2014-06-10,24,2015-02-24,19,2014-06-18,0,0,27,2014-02-27,0,0
2011,19,180,159,25,27,2012-07-11,23,2012-07-30,24,2012-07-10,28,2013-03-11,20,2012-06-14,0,0000-00-00,28,2013-09-05,28,2013-03-11,24,2013-06-26,27,2013-07-19,25,2013-06-28,23,2013-07-01,27,2013-09-16,25,2013-09-06,22,2014-06-10,22,2014-07-30,23,2014-07-24,0,0,30,2014-01-20,0,2014-06-30
2011,11,180,159,26,30,2012-07-11,28,2013-07-24,26,2012-06-21,30,2013-07-01,28,2013-07-04,0,2012-10-02,20,2013-02-15,30,2013-07-01,28,2013-06-26,30,2013-01-15,26,2013-07-11,25,2013-07-29,20,2014-12-23,29,2014-01-30,27,2014-06-10,30,2014-01-20,19,2014-06-18,0,0,28,2014-02-13,0,2014-02-07
2011,14,180,159,22,25,2012-09-18,20,2014-01-28,18,2013-01-16,25,2013-01-23,18,2014-06-11,0,0,23,2015-02-16,18,2013-01-23,23,2014-09-12,28,2013-07-19,20,2014-06-25,27,2014-06-26,0,0,25,2015-02-25,0,0,0,0,0,0,0,0,0,0,0,0
2011,13,180,159,23,22,2012-07-11,27,2014-02-28,25,2012-07-10,30,2013-07-01,18,2013-09-12,0,2012-11-22,19,2013-06-13,30,2013-07-01,23,2013-09-11,19,2013-07-19,23,2013-09-20,23,2013-07-29,28,2015-02-19,23,2014-07-17,24,2014-06-04,19,2014-09-03,18,2015-02-05,0,0,27,2014-07-17,0,2014-02-07
2011,13,144,141,22,26,2012-06-19,21,2014-02-28,19,2012-09-20,20,2015-01-14,18,2015-02-06,0,2013-06-05,19,2014-09-25,18,2015-01-14,24,2014-01-22,22,2013-06-20,20,2015-02-18,0,0,0,0,22,2015-02-11,0,0,0,0,0,0,0,0,0,0,0,0
2011,14,39,39,23,25,2012-07-31,0,0,24,2012-07-25,0,0,0,0,0,0,0,0,0,0,25,2014-06-05,19,2014-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,135,129,22,24,2013-07-11,20,2012-09-24,23,2014-02-04,27,2013-07-30,18,2014-09-11,0,2014-03-06,18,2015-01-16,18,2013-07-30,0,0,0,0,19,2014-07-11,23,2014-02-05,0,0,20,2015-02-25,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,63,60,26,24,2012-07-11,26,2013-02-18,28,2013-09-23,23,2012-07-27,0,0,0,2013-03-04,30,2013-07-12,0,0,0,0,0,0,0,0,25,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,180,159,23,25,2012-07-11,25,2013-02-18,24,2013-07-18,26,2014-07-28,20,2014-01-13,0,2012-05-16,23,2014-05-05,18,2014-07-28,24,2013-09-11,25,2014-02-04,25,2014-02-18,0,0,0,0,21,2015-01-26,18,2014-06-25,0,0,0,0,0,0,28,2015-01-22,0,0
2011,14,180,159,22,25,2013-06-20,24,2012-06-18,24,2013-06-20,23,2014-07-23,20,2014-01-14,0,0,18,2015-01-20,0,0,20,2014-02-19,21,2013-07-19,21,2014-07-11,24,2014-09-16,0,0,24,2014-01-21,0,0,0,0,0,0,0,0,30,2015-01-13,0,0
2011,12,180,159,26,28,2012-07-11,27,2012-07-17,25,2012-07-10,30,2013-03-08,26,2012-06-14,0,2013-03-26,27,2013-02-15,26,2013-03-08,31,2013-06-26,23,2013-02-28,28,2013-06-28,26,2013-06-10,23,2013-07-29,27,2013-09-12,25,2014-06-10,29,2014-01-20,18,2014-06-18,0,0,31,2014-02-10,0,2014-01-10
2011,13,15,12,20,0,0,0,0,0,0,20,2013-06-27,0,0,0,2012-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,3,,,0,0,0,0,0,0,0,0,0,0,0,2012-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6,3,,,0,0,0,0,0,0,0,0,0,0,0,2012-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,14,63,60,23,27,2012-07-11,23,2013-07-24,23,2012-07-10,0,0,0,0,0,2013-03-04,0,0,0,0,26,2014-01-22,18,2014-02-04,0,0,0,0,0,0,23,2014-07-17,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,180,159,23,27,2012-06-19,22,2013-07-08,26,2013-07-18,26,2013-07-01,19,2014-01-14,0,2012-05-16,23,2014-05-05,18,2013-07-01,25,2013-09-11,26,2014-02-04,23,2014-07-24,21,2013-07-01,0,0,25,2015-01-26,0,0,0,0,20,2014-07-24,0,0,23,2015-02-16,0,0
2011,12,180,159,22,27,2012-07-11,20,2012-06-18,24,2013-06-20,27,2014-06-30,19,2014-01-14,0,2012-03-27,20,2014-02-13,18,2014-06-30,24,2013-07-24,21,2013-07-19,22,2014-07-25,21,2013-07-29,23,2014-07-03,20,2013-09-25,0,0,20,2015-02-24,18,2014-09-09,0,0,25,2015-01-13,0,0
2011,16,180,159,25,31,2012-06-19,25,2012-07-30,25,2012-06-21,30,2013-07-01,24,2013-02-06,0,2012-10-30,20,2014-01-16,30,2013-07-01,26,2014-02-19,24,2013-02-26,24,2013-07-11,23,2014-02-05,26,2015-01-30,23,2013-09-25,21,2015-03-18,25,2014-02-24,18,2014-06-18,0,0,26,2014-01-20,0,2014-07-28
2011,17,165,159,22,27,2012-07-11,23,2014-07-24,22,2012-07-10,27,2014-09-05,18,2015-02-06,0,2013-06-05,22,2014-03-27,18,2014-09-05,22,2014-01-22,20,2015-03-04,22,2015-02-13,0,0,0,0,0,0,0,0,0,0,0,0,25,2015-02-18,0,0,0,0
2011,12,12,12,27,27,2012-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,18,24,24,22,23,2012-06-19,0,0,0,0,21,2013-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,16,84,81,24,25,2012-07-11,0,0,23,2012-07-10,30,2013-07-01,21,2012-08-01,0,2013-09-26,23,2013-02-25,30,2013-07-01,0,0,30,2013-07-19,19,2013-06-28,23,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,12,84,84,25,30,2012-07-31,30,2012-07-10,22,2012-07-25,28,2013-07-01,0,0,0,0,23,2013-09-19,28,2013-07-01,26,2013-06-26,22,2013-02-26,0,0,0,0,0,0,23,2013-09-25,0,0,0,0,0,0,0,0,0,0,0,0
2011,12,3,,,0,0,0,0,0,0,0,0,0,0,0,2012-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,3,,,0,0,0,0,0,0,0,0,0,0,0,2013-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,11,180,159,26,30,2013-06-20,30,2014-02-28,29,2013-07-18,28,2014-07-14,20,2013-09-11,0,2013-04-16,27,2015-01-16,18,2014-07-14,30,2014-02-05,24,2014-09-10,23,2014-06-25,24,2014-02-05,30,2015-09-21,25,2014-07-17,24,2015-07-08,21,2016-02-24,0,0,30,2015-06-22,26,2015-02-09,0,2015-01-20
2012,12,144,138,23,24,2013-09-19,26,2016-02-12,30,2013-07-31,21,2014-07-23,0,0,0,0,20,2014-10-07,18,2014-07-23,24,2015-02-16,31,2014-09-09,21,2014-09-21,18,2014-06-04,0,0,0,0,20,2015-06-09,0,0,0,0,26,2016-01-28,0,0,0,0
2012,13,150,147,25,25,2015-09-17,27,2014-02-28,24,2015-09-03,28,2014-10-07,20,2013-07-31,0,2016-04-28,21,2014-01-16,28,2014-10-07,0,0,0,0,23,2015-06-16,26,2015-02-03,25,2014-07-23,24,2016-02-23,0,0,0,0,0,0,27,2016-02-25,0,0,0,0
2012,11,180,159,25,30,2013-06-21,27,2013-07-24,31,2013-06-20,27,2014-07-14,20,2015-07-09,0,2013-04-16,23,2015-01-16,18,2014-07-14,27,2014-01-22,19,2014-02-24,28,2014-06-25,23,2014-02-05,26,2016-02-22,26,2014-07-17,0,0,0,0,0,0,26,2015-01-20,30,2015-01-22,0,2015-02-17
2012,14,36,36,29,30,2013-07-11,0,0,31,2013-07-18,27,2014-07-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,21,180,159,27,31,2013-06-20,24,2013-06-12,30,2013-06-20,31,2014-07-22,28,2013-07-30,0,2013-05-07,31,2014-01-21,18,2014-07-22,26,2014-01-22,30,2014-02-04,28,2014-06-16,30,2014-02-05,25,2015-02-19,28,2014-07-17,24,2015-07-07,25,2015-07-27,0,0,28,2015-01-14,30,2015-01-22,0,2015-02-17
2012,16,180,159,27,30,2013-07-11,27,2013-06-12,31,2013-06-20,24,2014-07-31,28,2013-07-03,0,2013-02-05,23,2014-09-23,18,2014-07-31,28,2014-01-22,30,2014-02-04,30,2014-06-16,25,2014-02-05,22,2014-07-24,29,2015-01-26,26,2015-06-08,26,2015-07-27,0,0,30,2015-01-14,30,2015-02-09,0,2015-02-17
2012,16,165,159,26,30,2013-09-19,30,2015-09-14,27,2014-02-04,28,2014-07-23,23,2014-02-05,0,2015-04-14,30,2015-01-16,18,2014-07-23,30,2014-06-05,19,2014-02-04,27,2014-09-11,22,2014-07-14,0,0,24,2016-01-29,0,0,0,0,0,0,26,2015-01-20,30,2016-02-15,0,2015-02-17
2012,16,180,159,26,31,2013-06-21,25,2013-07-08,27,2013-07-18,28,2014-09-16,24,2013-06-12,0,2013-04-16,27,2014-05-20,28,2014-09-16,30,2014-01-22,23,2014-02-04,24,2014-06-25,27,2014-01-08,21,2016-01-29,28,2014-07-17,26,2015-07-07,21,2015-09-11,0,0,22,2015-01-14,26,2015-01-27,0,2015-02-17
2012,12,36,36,23,18,2014-01-20,0,0,24,2014-02-04,27,2013-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,14,180,159,26,26,2014-01-20,28,2014-02-28,28,2014-02-04,28,2014-09-16,28,2014-09-10,0,0,25,2014-02-13,28,2014-09-16,25,2015-07-13,26,2015-03-04,27,2015-09-17,26,2014-02-05,27,2016-01-29,22,2014-09-24,21,2015-06-22,30,2016-02-24,0,0,26,2015-06-22,28,2015-01-27,0,2015-09-04
2012,9,3,,,0,0,0,0,0,0,0,0,0,0,0,2013-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,18,27,24,28,25,2013-06-21,0,0,31,2013-07-18,0,0,0,0,0,2013-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,20,177,159,26,30,2013-06-20,25,2013-09-19,30,2013-06-20,29,2014-01-24,20,2013-09-12,0,2013-04-09,24,2015-06-15,0,0,30,2014-07-16,28,2014-02-24,28,2014-09-17,22,2014-06-26,0,0,22,2014-09-17,0,0,0,0,0,0,27,2015-09-16,25,2015-01-13,0,2016-02-16
2012,13,180,159,25,30,2013-07-26,29,2015-06-16,20,2014-02-04,22,2014-07-23,26,2015-01-21,0,2013-12-10,24,2014-01-16,18,2014-07-23,28,2015-02-16,20,2014-10-21,22,2014-09-17,29,2014-07-14,27,2016-01-29,23,2015-09-16,23,2015-06-08,0,0,0,0,25,2015-02-26,26,2016-02-04,0,2015-09-04
2012,10,144,138,23,28,2013-07-26,19,2015-07-14,26,2013-07-31,21,2014-07-23,20,2015-09-09,0,0000-00-00,0,0,18,2014-07-23,30,2014-06-05,18,2014-06-18,23,2015-07-24,24,2014-07-14,0,0,25,2016-02-25,0,0,0,0,0,0,18,2015-02-11,0,0,0,2015-01-20
2012,16,24,24,23,27,2013-09-19,0,0,18,2013-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,16,177,159,23,27,2013-07-11,27,2014-07-24,18,2013-07-18,25,2014-09-05,19,2015-01-21,0,2015-02-25,23,2015-01-16,18,2014-09-05,27,2014-02-19,23,2014-06-18,22,2015-06-26,23,2015-02-03,0,0,24,2015-09-16,0,0,0,0,0,0,25,2016-02-09,28,2016-02-15,0,2016-01-19
2012,14,54,48,22,18,2013-09-19,0,0,23,2013-09-23,28,2014-09-16,0,0,0,2013-02-13,19,2015-02-17,28,2014-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-04
2012,13,180,159,24,25,2014-06-11,19,2014-09-15,25,2014-07-08,27,2015-06-30,20,2015-02-05,0,2013-05-23,20,2015-01-20,18,2015-06-30,27,2015-01-20,18,2015-02-05,21,2015-06-26,27,2015-07-27,0,0,22,2015-07-20,0,0,0,0,0,0,20,2016-01-26,27,2016-01-18,0,2016-01-19
2012,12,180,159,28,31,2013-07-11,29,2013-06-12,31,2013-07-18,28,2014-07-23,28,2014-01-14,0,2015-11-05,26,2014-09-23,18,2014-07-23,31,2014-02-26,28,2014-02-04,29,2014-06-25,25,2014-02-05,27,2015-06-12,28,2014-09-24,26,2015-06-08,27,2015-07-27,0,0,30,2015-02-11,31,2015-01-27,0,2015-07-10
2012,10,3,,,0,0,0,0,0,0,0,0,0,0,0,2013-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,20,132,126,26,26,2013-07-11,18,2014-01-28,30,2013-07-31,29,2014-09-16,26,2013-09-11,0,2014-11-04,27,2015-01-16,28,2014-09-16,28,2014-07-16,27,2014-09-09,24,2014-07-24,0,0,0,0,24,2014-09-17,21,2015-06-22,0,0,0,0,27,2015-02-11,0,0,0,2015-06-16
2012,12,117,117,28,30,2013-07-26,28,2016-02-12,31,2013-07-18,31,2015-07-14,0,0,0,0,24,2014-09-23,30,2015-07-14,29,2016-01-21,20,2015-03-02,26,2014-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,11,39,36,22,28,2013-07-26,0,0,18,2014-02-04,20,2013-07-18,0,0,0,2013-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,19,180,159,29,31,2013-07-26,28,2013-06-12,31,2013-07-31,31,2014-09-12,30,2013-07-03,0,2013-03-05,31,2014-02-13,31,2014-09-12,30,2014-02-19,29,2014-02-04,31,2014-06-25,31,2014-01-08,27,2014-07-23,31,2014-07-17,30,2015-06-08,27,2015-07-27,0,0,28,2015-01-14,23,2015-01-22,0,2015-02-17
