_id,Insegnamento,Hash Docente/i,Inizio Periodo di Riferimento,Fine Periodo di Riferimento,Produttivita Studenti - N,Produttivita Studenti - P>=24,Produttivita Studenti - P<24,Produttivita Studenti - Media,Produttivita Studenti - Std Dev,Carico di lavoro accettabile - Media,Carico di lavoro accettabile - Std Dev,Carico di lavoro accettabile - P<6,Carico di lavoro accettabile - P>=6,Carico di lavoro accettabile - N,Organizzazione corso - Media,Organizzazione corso - Std Dev,Organizzazione corso - P<6,Organizzazione corso - P>=6,Organizzazione corso - N,Orario consente studio individuale - Media,Orario consente studio individuale - Std Dev,Orario consente studio individuale - P<6,Orario consente studio individuale - P>=6,Orario consente studio individuale - N,Carico di studio proporzionato a credti - Media,Carico di studio proporzionato a credti - Std Dev,Carico di studio proporzionato a credti - P<6,Carico di studio proporzionato a credti - P>=6,Carico di studio proporzionato a credti - N,Materiale didattico adeguato - Media,Materiale didattico adeguato - Std Dev,Materiale didattico adeguato - P<6,Materiale didattico adeguato - P>=6,Materiale didattico adeguato - N,Attivita integrative utili - Media,Attivita integrative utili - Std Dev,Attivita integrative utili - P<6,Attivita integrative utili - P>=6,Attivita integrative utili - N,Modalita esame chiare - Media,Modalita esame chiare - Std Dev,Modalita esame chiare - P<6,Modalita esame chiare - P>=6,Modalita esame chiare - N,Orari rispettati - Media,Orari rispettati - Std Dev,Orari rispettati - P<6,Orari rispettati - P>=6,Orari rispettati - N,Docente reperibile - Media,Docente reperibile - Std Dev,Docente reperibile - P<6,Docente reperibile - P>=6,Docente reperibile - N,Docente stimola interesse - Media,Docente stimola interesse - Std Dev,Docente stimola interesse - P<6,Docente stimola interesse - P>=6,Docente stimola interesse - N,Docente chiaro - Media,Docente chiaro - Std Dev,Docente chiaro - P<6,Docente chiaro - P>=6,Docente chiaro - N,Docente disponibile ed esauriente - Media,Docente disponibile ed esauriente - Std Dev,Docente disponibile ed esauriente - P<6,Docente disponibile ed esauriente - P>=6,Docente disponibile ed esauriente - N,Aule lezioni adeguate - Media,Aule lezioni adeguate - Std Dev,Aule lezioni adeguate - P<6,Aule lezioni adeguate - P>=6,Aule lezioni adeguate - N,Strumenti e locali adeguati - Media,Strumenti e locali adeguati - Std Dev,Strumenti e locali adeguati - P<6,Strumenti e locali adeguati - P>=6,Strumenti e locali adeguati - N,Soddisfazione complessiva corso - Media,Soddisfazione complessiva corso - Std Dev,Soddisfazione complessiva corso - P<6,Soddisfazione complessiva corso - P>=6,Soddisfazione complessiva corso - N,Conoscenze preliminari sufficienti - Media,Conoscenze preliminari sufficienti - Std Dev,Conoscenze preliminari sufficienti - P<6,Conoscenze preliminari sufficienti - P>=6,Conoscenze preliminari sufficienti - N,Argomenti trattati nuovi o integrativi - Media,Argomenti trattati nuovi o integrativi - Std Dev,Argomenti trattati nuovi o integrativi - P<6,Argomenti trattati nuovi o integrativi - P>=6,Argomenti trattati nuovi o integrativi - N,Argomenti interessanti - Media,Argomenti interessanti - Std Dev,Argomenti interessanti - P<6,Argomenti interessanti - P>=6,Argomenti interessanti - N
ObjectId(5abe3840846205483a6144a8),PROGRAMMAZIONE,db6b0538d69b856522407ecf0f974e8b,2013-01-01,2013-12-31,40-60,80-100,0-20,26-28,3.5-5,,,,,,,,,,,,,,,,8-10,1-2,0-20,80-100,60-80,7-8,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,40-60,7-8,2-3.5,0-20,80-100,60-80,,,,,,8-10,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,60-80,,,,,,,,,,,8-10,1-2,0-20,80-100,60-80,6-7,2-3.5,20-40,60-80,60-80,7-8,2-3.5,0-20,80-100,60-80,8-10,1-2,0-20,80-100,60-80
ObjectId(5abe3840846205483a6144a9),ALGEBRA LINEARE,e220afea7e5dc299a30b7e8be201f038,2013-01-01,2013-12-31,0-20,20-40,60-80,22-24,3.5-5,,,,,,,,,,,,,,,,6-7,2-3.5,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,,,,,,8-10,1-2,0-20,80-100,0-20,8-10,0-1,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,,,,,,,,,,,7-8,2-3.5,0-20,80-100,0-20,7-8,2-3.5,20-40,60-80,0-20,8-10,1-2,0-20,80-100,0-20,6-7,1-2,0-20,80-100,0-20
ObjectId(5abe3840846205483a6144aa),METODOLOGIE DI PROGRAMMAZIONE,36dce3761ca6a50ff9081a95c88c51ef,2013-01-01,2013-12-31,0-20,80-100,0-20,24-26,2-3.5,,,,,,,,,,,,,,,,7-8,2-3.5,0-20,80-100,20-40,7-8,2-3.5,20-40,60-80,20-40,8-10,0-1,0-20,80-100,0-20,8-10,1-2,0-20,80-100,20-40,,,,,,8-10,1-2,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,0-20,6-7,2-3.5,20-40,60-80,0-20,8-10,1-2,0-20,80-100,20-40,,,,,,,,,,,8-10,1-2,0-20,80-100,20-40,6-7,2-3.5,20-40,60-80,20-40,7-8,2-3.5,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a6144ab),PROGRAMMAZIONE CONCORRENTE,bc0d308342e07c2a2cd5e94b371388a7,2013-01-01,2013-12-31,20-40,40-60,40-60,24-26,3.5-5,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,7-8,2-3.5,20-40,60-80,40-60,6-7,2-3.5,20-40,60-80,20-40,7-8,2-3.5,0-20,80-100,40-60,,,,,,7-8,2-3.5,0-20,80-100,40-60,6-7,2-3.5,20-40,60-80,20-40,7-8,1-2,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,40-60,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,7-8,2-3.5,0-20,80-100,40-60,8-10,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60
ObjectId(5abe3840846205483a6144ac),BASI DI DATI E SISTEMI INFORMATIVI,99e1b84b991f145fb2eaa726a8b2263e,2013-01-01,2013-12-31,0-20,80-100,0-20,24-26,2-3.5,,,,,,,,,,,,,,,,7-8,2-3.5,0-20,80-100,20-40,7-8,2-3.5,20-40,60-80,20-40,8-10,1-2,0-20,80-100,0-20,7-8,2-3.5,0-20,80-100,20-40,,,,,,7-8,2-3.5,0-20,80-100,20-40,7-8,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,7-8,2-3.5,0-20,80-100,20-40,,,,,,,,,,,7-8,2-3.5,0-20,80-100,20-40,8-10,2-3.5,0-20,80-100,20-40,7-8,2-3.5,20-40,60-80,20-40,8-10,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a6144ad),SISTEMI OPERATIVI,2d868687b2879f66146ae7547015d741,2013-01-01,2013-12-31,0-20,60-80,20-40,24-26,2-3.5,,,,,,,,,,,,,,,,7-8,2-3.5,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,N.C.,N.C.,N.C.,N.C.,<5,8-10,1-2,0-20,80-100,0-20,,,,,,8-10,0-1,0-20,80-100,0-20,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,8-10,1-2,0-20,80-100,0-20,,,,,,,,,,,8-10,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20
ObjectId(5abe3840846205483a6144ae),CALCOLO NUMERICO,8578b5db2fb0d1ef183d2a03309914cb,2013-01-01,2013-12-31,0-20,60-80,20-40,24-26,3.5-5,,,,,,,,,,,,,,,,6-7,2-3.5,20-40,60-80,0-20,6-7,2-3.5,20-40,60-80,0-20,N.C.,N.C.,N.C.,N.C.,<5,8-10,1-2,0-20,80-100,0-20,,,,,,8-10,1-2,0-20,80-100,0-20,7-8,2-3.5,20-40,60-80,0-20,7-8,0-1,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,,,,,,,,,,,6-7,1-2,20-40,60-80,0-20,6-7,1-2,20-40,60-80,0-20,8-10,1-2,0-20,80-100,0-20,6-7,1-2,20-40,60-80,0-20
ObjectId(5abe3840846205483a6144af),INFORMATICA TEORICA,f304118b9ccc45c41f82fbcd3eb0fc20,2013-01-01,2013-12-31,0-20,80-100,0-20,28-31,2-3.5,,,,,,,,,,,,,,,,8-10,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,8-10,0-1,0-20,80-100,0-20,8-10,0-1,0-20,80-100,0-20,,,,,,8-10,0-1,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,,,,,,,,,,,8-10,1-2,0-20,80-100,0-20,7-8,0-1,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20
ObjectId(5abe3840846205483a6144b0),RETI DI CALCOLATORI,f29f38b351d85b4e9ac2828c0bedd6c2,2013-01-01,2013-12-31,0-20,80-100,0-20,26-28,1-2,,,,,,,,,,,,,,,,4-6,2-3.5,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,N.C.,N.C.,N.C.,N.C.,<5,7-8,1-2,0-20,80-100,0-20,,,,,,7-8,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,6-7,1-2,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,,,,,,,,,,,7-8,1-2,0-20,80-100,0-20,7-8,0-1,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20
ObjectId(5abe3840846205483a6144b1),FISICA GENERALE,72431365f57ca93f8c6d57de4ae71294,2013-01-01,2013-12-31,0-20,60-80,20-40,26-28,2-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectId(5abe3840846205483a6144b2),ALGORITMI E STRUTTURE DATI,5f11ff65ac8c1970ee99aa1c24ec538b,2014-01-01,2014-12-31,60-80,60-80,20-40,24-26,2-3.5,,,,,,,,,,,,,,,,8-10,1-2,0-20,80-100,100-120,8-10,1-2,0-20,80-100,100-120,7-8,1-2,0-20,80-100,80-100,8-10,1-2,0-20,80-100,100-120,,,,,,8-10,1-2,0-20,80-100,100-120,8-10,1-2,0-20,80-100,80-100,8-10,1-2,0-20,80-100,80-100,8-10,1-2,0-20,80-100,100-120,,,,,,,,,,,8-10,1-2,0-20,80-100,100-120,7-8,2-3.5,0-20,80-100,100-120,8-10,1-2,0-20,80-100,100-120,8-10,1-2,0-20,80-100,100-120
ObjectId(5abe3840846205483a6144b3),ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,4eb03b40d3853b0c860cf9a6bb332442,2014-01-01,2014-12-31,40-60,60-80,20-40,26-28,2-3.5,,,,,,,,,,,,,,,,8-10,1-2,0-20,80-100,80-100,8-10,1-2,0-20,80-100,80-100,8-10,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,80-100,,,,,,8-10,1-2,0-20,80-100,80-100,8-10,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,80-100,,,,,,,,,,,8-10,1-2,0-20,80-100,80-100,7-8,2-3.5,0-20,80-100,80-100,7-8,1-2,0-20,80-100,80-100,7-8,1-2,0-20,80-100,80-100
ObjectId(5abe3840846205483a6144b4),ARCHITETTURE DEGLI ELABORATORI,e1b57bacd2585e69e0532aaa074f79f8,2014-01-01,2014-12-31,40-60,40-60,40-60,24-26,3.5-5,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,60-80,6-7,2-3.5,20-40,60-80,60-80,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,60-80,,,,,,7-8,1-2,0-20,80-100,60-80,6-7,2-3.5,20-40,60-80,40-60,6-7,2-3.5,20-40,60-80,40-60,7-8,1-2,0-20,80-100,60-80,,,,,,,,,,,6-7,2-3.5,20-40,60-80,60-80,6-7,2-3.5,20-40,60-80,60-80,7-8,2-3.5,0-20,80-100,60-80,7-8,1-2,0-20,80-100,60-80
ObjectId(5abe3840846205483a6144b5),MATEMATICA DISCRETA E LOGICA,093168e8d48ba79b3f4d639a9076bb91,2014-01-01,2014-12-31,20-40,40-60,40-60,22-24,3.5-5,,,,,,,,,,,,,,,,6-7,2-3.5,20-40,60-80,80-100,7-8,1-2,0-20,80-100,80-100,7-8,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,80-100,,,,,,8-10,1-2,0-20,80-100,80-100,8-10,1-2,0-20,80-100,60-80,7-8,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,80-100,,,,,,,,,,,7-8,1-2,0-20,80-100,80-100,6-7,2-3.5,20-40,60-80,80-100,7-8,1-2,0-20,80-100,80-100,7-8,1-2,0-20,80-100,80-100
ObjectId(5abe3840846205483a6144b6),PROGRAMMAZIONE,db6b0538d69b856522407ecf0f974e8b,2014-01-01,2014-12-31,40-60,80-100,0-20,24-26,2-3.5,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5
ObjectId(5abe3840846205483a6144b7),ALGEBRA LINEARE,576850df19b04320d02edf714e989bd9,2014-01-01,2014-12-31,20-40,60-80,20-40,24-26,3.5-5,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,N.C.,N.C.,N.C.,N.C.,<5,7-8,1-2,0-20,80-100,20-40,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5
ObjectId(5abe3840846205483a6144b8),BASI DI DATI E SISTEMI INFORMATIVI,99e1b84b991f145fb2eaa726a8b2263e,2014-01-01,2014-12-31,20-40,40-60,40-60,24-26,2-3.5,,,,,,,,,,,,,,,,8-10,1-2,0-20,80-100,40-60,7-8,2-3.5,0-20,80-100,40-60,8-10,1-2,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,40-60,,,,,,8-10,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,40-60,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,7-8,2-3.5,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,40-60
ObjectId(5abe3840846205483a6144b9),SISTEMI OPERATIVI,7097bbe3343b691bb7a8624072dff230,2014-01-01,2014-12-31,20-40,60-80,20-40,24-26,2-3.5,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,40-60,,,,,,7-8,1-2,0-20,80-100,40-60,6-7,1-2,20-40,60-80,20-40,7-8,1-2,20-40,60-80,20-40,7-8,1-2,0-20,80-100,20-40,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60
ObjectId(5abe3840846205483a6144ba),CALCOLO NUMERICO,8578b5db2fb0d1ef183d2a03309914cb,2014-01-01,2014-12-31,0-20,60-80,20-40,24-26,2-3.5,,,,,,,,,,,,,,,,6-7,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,,,,,,8-10,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,,,,,,,,,,,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a6144bb),INFORMATICA TEORICA,f304118b9ccc45c41f82fbcd3eb0fc20,2014-01-01,2014-12-31,0-20,60-80,20-40,26-28,3.5-5,,,,,,,,,,,,,,,,7-8,2-3.5,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,6-7,2-3.5,20-40,60-80,20-40,8-10,1-2,0-20,80-100,20-40,,,,,,6-7,2-3.5,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,20-40,,,,,,,,,,,6-7,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,6-7,2-3.5,20-40,60-80,20-40
ObjectId(5abe3840846205483a6144bc),RETI DI CALCOLATORI,f29f38b351d85b4e9ac2828c0bedd6c2,2014-01-01,2014-12-31,0-20,80-100,0-20,28-31,1-2,,,,,,,,,,,,,,,,7-8,2-3.5,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,,,,,,8-10,1-2,0-20,80-100,20-40,8-10,0-1,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,,,,,,,,,,,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a6144bd),FISICA GENERALE,72431365f57ca93f8c6d57de4ae71294,2014-01-01,2014-12-31,0-20,40-60,40-60,22-24,2-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ObjectId(5abe3840846205483a6144be),METODOLOGIE DI PROGRAMMAZIONE,36dce3761ca6a50ff9081a95c88c51ef,2014-01-01,2014-12-31,40-60,80-100,0-20,26-28,2-3.5,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,7-8,2-3.5,20-40,60-80,40-60,7-8,2-3.5,20-40,60-80,20-40,8-10,2-3.5,0-20,80-100,40-60,,,,,,8-10,1-2,0-20,80-100,40-60,7-8,2-3.5,0-20,80-100,20-40,7-8,2-3.5,20-40,60-80,20-40,8-10,1-2,0-20,80-100,40-60,,,,,,,,,,,7-8,2-3.5,0-20,80-100,40-60,6-7,2-3.5,20-40,60-80,40-60,8-10,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,40-60
ObjectId(5abe3840846205483a6144bf),PROGRAMMAZIONE CONCORRENTE,bc0d308342e07c2a2cd5e94b371388a7,2014-01-01,2014-12-31,40-60,40-60,40-60,22-24,3.5-5,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,6-7,2-3.5,20-40,60-80,40-60,6-7,2-3.5,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,40-60,,,,,,7-8,1-2,0-20,80-100,40-60,6-7,2-3.5,20-40,60-80,20-40,6-7,2-3.5,20-40,60-80,20-40,7-8,1-2,0-20,80-100,40-60,,,,,,,,,,,7-8,1-2,0-20,80-100,40-60,7-8,2-3.5,0-20,80-100,40-60,8-10,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60
