_id,Insegnamento,Hash Docente/i,Inizio Periodo di Riferimento,Fine Periodo di Riferimento,Produttivita Studenti - N,Produttivita Studenti - P>=24,Produttivita Studenti - P<24,Produttivita Studenti - Media,Produttivita Studenti - Std Dev,Carico di lavoro accettabile - Media,Carico di lavoro accettabile - Std Dev,Carico di lavoro accettabile - P<6,Carico di lavoro accettabile - P>=6,Carico di lavoro accettabile - N,Organizzazione corso - Media,Organizzazione corso - Std Dev,Organizzazione corso - P<6,Organizzazione corso - P>=6,Organizzazione corso - N,Orario consente studio individuale - Media,Orario consente studio individuale - Std Dev,Orario consente studio individuale - P<6,Orario consente studio individuale - P>=6,Orario consente studio individuale - N,Carico di studio proporzionato a credti - Media,Carico di studio proporzionato a credti - Std Dev,Carico di studio proporzionato a credti - P<6,Carico di studio proporzionato a credti - P>=6,Carico di studio proporzionato a credti - N,Materiale didattico adeguato - Media,Materiale didattico adeguato - Std Dev,Materiale didattico adeguato - P<6,Materiale didattico adeguato - P>=6,Materiale didattico adeguato - N,Attivita integrative utili - Media,Attivita integrative utili - Std Dev,Attivita integrative utili - P<6,Attivita integrative utili - P>=6,Attivita integrative utili - N,Modalita esame chiare - Media,Modalita esame chiare - Std Dev,Modalita esame chiare - P<6,Modalita esame chiare - P>=6,Modalita esame chiare - N,Orari rispettati - Media,Orari rispettati - Std Dev,Orari rispettati - P<6,Orari rispettati - P>=6,Orari rispettati - N,Docente reperibile - Media,Docente reperibile - Std Dev,Docente reperibile - P<6,Docente reperibile - P>=6,Docente reperibile - N,Docente stimola interesse - Media,Docente stimola interesse - Std Dev,Docente stimola interesse - P<6,Docente stimola interesse - P>=6,Docente stimola interesse - N,Docente chiaro - Media,Docente chiaro - Std Dev,Docente chiaro - P<6,Docente chiaro - P>=6,Docente chiaro - N,Docente disponibile ed esauriente - Media,Docente disponibile ed esauriente - Std Dev,Docente disponibile ed esauriente - P<6,Docente disponibile ed esauriente - P>=6,Docente disponibile ed esauriente - N,Aule lezioni adeguate - Media,Aule lezioni adeguate - Std Dev,Aule lezioni adeguate - P<6,Aule lezioni adeguate - P>=6,Aule lezioni adeguate - N,Strumenti e locali adeguati - Media,Strumenti e locali adeguati - Std Dev,Strumenti e locali adeguati - P<6,Strumenti e locali adeguati - P>=6,Strumenti e locali adeguati - N,Soddisfazione complessiva corso - Media,Soddisfazione complessiva corso - Std Dev,Soddisfazione complessiva corso - P<6,Soddisfazione complessiva corso - P>=6,Soddisfazione complessiva corso - N,Conoscenze preliminari sufficienti - Media,Conoscenze preliminari sufficienti - Std Dev,Conoscenze preliminari sufficienti - P<6,Conoscenze preliminari sufficienti - P>=6,Conoscenze preliminari sufficienti - N,Argomenti trattati nuovi o integrativi - Media,Argomenti trattati nuovi o integrativi - Std Dev,Argomenti trattati nuovi o integrativi - P<6,Argomenti trattati nuovi o integrativi - P>=6,Argomenti trattati nuovi o integrativi - N,Argomenti interessanti - Media,Argomenti interessanti - Std Dev,Argomenti interessanti - P<6,Argomenti interessanti - P>=6,Argomenti interessanti - N
ObjectId(5abe3840846205483a61449e),ALGEBRA LINEARE,e220afea7e5dc299a30b7e8be201f038,2012-01-01,2012-12-31,0-20,40-60,40-60,24-26,3.5-5,,,,,,,,,,,,,,,,8-10,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60,6-7,1-2,20-40,60-80,0-20,8-10,1-2,0-20,80-100,40-60,,,,,,8-10,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,7-8,1-2,0-20,80-100,40-60,7-8,1-2,0-20,80-100,40-60,N.C.,N.C.,N.C.,N.C.,<5
ObjectId(5abe3840846205483a61449f),METODOLOGIE DI PROGRAMMAZIONE,36dce3761ca6a50ff9081a95c88c51ef,2012-01-01,2012-12-31,0-20,80-100,0-20,26-28,2-3.5,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,6-7,2-3.5,0-20,80-100,0-20,8-10,1-2,0-20,80-100,20-40,,,,,,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,0-20,7-8,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,20-40,,,,,,,,,,,8-10,1-2,0-20,80-100,20-40,6-7,2-3.5,20-40,60-80,20-40,8-10,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a6144a0),PROGRAMMAZIONE CONCORRENTE,c6395da23b8d5bedecbc139066210e97,2012-01-01,2012-12-31,0-20,80-100,0-20,26-28,2-3.5,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,20-40,6-7,2-3.5,0-20,80-100,20-40,4-6,1-2,40-60,40-60,0-20,8-10,1-2,0-20,80-100,20-40,,,,,,7-8,1-2,0-20,80-100,20-40,6-7,2-3.5,20-40,60-80,0-20,4-6,2-3.5,40-60,40-60,0-20,7-8,2-3.5,0-20,80-100,20-40,,,,,,,,,,,7-8,2-3.5,0-20,80-100,20-40,6-7,2-3.5,20-40,60-80,20-40,7-8,2-3.5,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a6144a1),BASI DI DATI E SISTEMI INFORMATIVI,e95a5d077de350a1fd0c06386e508be1,2012-01-01,2012-12-31,0-20,80-100,0-20,26-28,2-3.5,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5
ObjectId(5abe3840846205483a6144a2),FISICA GENERALE,72431365f57ca93f8c6d57de4ae71294,2012-01-01,2012-12-31,0-20,80-100,0-20,28-31,0-1,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5
ObjectId(5abe3840846205483a6144a3),SISTEMI OPERATIVI,2d868687b2879f66146ae7547015d741,2012-01-01,2012-12-31,0-20,80-100,0-20,26-28,1-2,,,,,,,,,,,,,,,,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,6-7,1-2,20-40,60-80,0-20,8-10,1-2,0-20,80-100,20-40,,,,,,8-10,1-2,0-20,80-100,20-40,7-8,2-3.5,0-20,80-100,0-20,8-10,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,20-40,,,,,,,,,,,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,20-40
ObjectId(5abe3840846205483a6144a4),ALGORITMI E STRUTTURE DATI,5f11ff65ac8c1970ee99aa1c24ec538b,2013-01-01,2013-12-31,40-60,80-100,0-20,26-28,2-3.5,,,,,,,,,,,,,,,,8-10,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,60-80,7-8,1-2,0-20,80-100,40-60,8-10,1-2,0-20,80-100,60-80,,,,,,8-10,0-1,0-20,80-100,60-80,8-10,1-2,0-20,80-100,40-60,8-10,0-1,0-20,80-100,40-60,8-10,0-1,0-20,80-100,60-80,,,,,,,,,,,8-10,1-2,0-20,80-100,60-80,7-8,2-3.5,0-20,80-100,60-80,8-10,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,60-80
ObjectId(5abe3840846205483a6144a5),ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,0efb53da14558c79942ba55c8ed0d565,2013-01-01,2013-12-31,20-40,60-80,20-40,24-26,2-3.5,,,,,,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,,,,,,,,,,,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5,N.C.,N.C.,N.C.,N.C.,<5
ObjectId(5abe3840846205483a6144a6),ARCHITETTURE DEGLI ELABORATORI,e1b57bacd2585e69e0532aaa074f79f8,2013-01-01,2013-12-31,20-40,80-100,0-20,24-26,2-3.5,,,,,,,,,,,,,,,,7-8,2-3.5,0-20,80-100,40-60,6-7,1-2,20-40,60-80,40-60,7-8,2-3.5,0-20,80-100,0-20,7-8,2-3.5,20-40,60-80,40-60,,,,,,8-10,1-2,0-20,80-100,40-60,6-7,2-3.5,20-40,60-80,0-20,7-8,1-2,0-20,80-100,0-20,8-10,1-2,0-20,80-100,40-60,,,,,,,,,,,6-7,2-3.5,20-40,60-80,40-60,4-6,2-3.5,40-60,40-60,40-60,7-8,2-3.5,0-20,80-100,40-60,7-8,2-3.5,0-20,80-100,40-60
ObjectId(5abe3840846205483a6144a7),MATEMATICA DISCRETA E LOGICA,f4409ea69dae5150cf6c950cfdd90710,2013-01-01,2013-12-31,20-40,40-60,40-60,22-24,3.5-5,,,,,,,,,,,,,,,,6-7,2-3.5,20-40,60-80,60-80,7-8,1-2,0-20,80-100,60-80,6-7,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,60-80,,,,,,8-10,1-2,0-20,80-100,60-80,8-10,1-2,0-20,80-100,20-40,7-8,1-2,0-20,80-100,20-40,8-10,1-2,0-20,80-100,60-80,,,,,,,,,,,7-8,1-2,0-20,80-100,60-80,6-7,2-3.5,20-40,60-80,60-80,7-8,1-2,0-20,80-100,60-80,7-8,1-2,0-20,80-100,60-80
