Anno Accademico,Aspetti specifici del Corso di Studi - N [istanze],Aspetti specifici del Corso di Studi - Std Dev [media pesata],Aspetti specifici del Corso di Studi - Val >= 6 [percent],Aspetti specifici del Corso di Studi - Val [media pesata],Aule ed attrezzature - N [istanze],Aule ed attrezzature - Std Dev [media pesata],Aule ed attrezzature - Val >= 6 [percent],Aule ed attrezzature - Val [media pesata],Docente - N [istanze],Docente - Std Dev [media pesata],Docente - Val >= 6 [percent],Docente - Val [media pesata],Hash Docente/i,Informazioni aggiuntive - N [istanze],Informazioni aggiuntive - Std Dev [media pesata],Informazioni aggiuntive - Val >= 6 [percent],Informazioni aggiuntive - Val [media pesata],Insegnamento,Organizzazione Corso di Studi - N [istanze],Organizzazione Corso di Studi - Std Dev [media pesata],Organizzazione Corso di Studi - Val >= 6 [percent],Organizzazione Corso di Studi - Val [media pesata],Organizzazione Insegnamento - N [istanze],Organizzazione Insegnamento - Std Dev [media pesata],Organizzazione Insegnamento - Val >= 6 [percent],Organizzazione Insegnamento - Val [media pesata],Produttivita Studenti - N [istanze],Produttivita Studenti - Ritardo >=1sem [percent],Produttivita Studenti - Ritardo [semestre media],Produttivita Studenti - Voto >= 24 [perc],Produttivita Studenti - Voto [media],Produttivita Studenti - Voto [std dev],Soddisfazione - N [istanze],Soddisfazione - Std Dev [media pesata],Soddisfazione - Val >= 6 [percent],Soddisfazione - Val [media pesata],]
2012-2013,5,0.95,100,8.8,,,,,9,1.44,93.62,8.13,fc2f8485971a,,,,,CALCOLO NUMERICO,,,,,20,1.89,78.75,7.21,24,0,,62.5,24.04,2.99,16,1.84,77.42,6.68,
2012-2013,45,1.47,97.78,8.42,,,,,57,1.51,96.51,8.61,46a40e083cb3,,,,,PROGRAMMAZIONE,,,,,71,2.07,84.81,7.49,52,27,,76.92,26.27,4.02,77,1.56,96.75,8.51,
2012-2013,52,1.26,99.03,8.89,,,,,60,1.02,99.33,9.08,3cba32344644,,,,,ALGORITMI E STRUTTURE DATI,,,,,69,1.64,92.99,8.14,51,12,,86.27,26.75,3.59,74,1.07,100,8.79,
2012-2013,10,1.65,85,7.7,,,,,11,1.66,87.04,7.87,7acf3f684e24,,,,,RETI DI CALCOLATORI,,,,,16,1.53,89.23,7.37,30,33,,93.33,27.57,2.58,13,1.76,88.47,7.66,
2012-2013,18,1.62,94.29,8.77,,,,,32,1.83,90.12,8.11,73a131af52a0,,,,,ARCHITETTURE DEGLI ELABORATORI,,,,,48,2.37,77.62,7.17,42,64,,76.19,25.26,3.77,54,2.26,81.65,7.05,
2012-2013,12,1.32,100,8.38,,,,,18,1.97,89.13,7.9,074aa5f763ed,,,,,BASI DI DATI E SISTEMI INFORMATIVI,,,,,26,2.13,84.62,7.74,40,22,,57.5,24.7,3.1,30,1.89,88.13,8.07,
2012-2013,34,1.4,95.59,8.05,,,,,47,1.28,96.19,8.38,c0d54a2cf1f7,,,,,MATEMATICA DISCRETA E LOGICA,,,,,60,2.02,82.37,7.08,38,47,,42.11,23.08,3.51,68,1.77,86.03,7.13,
2012-2013,11,1.45,95.46,8.46,,,,,16,1.75,89.74,8.11,004dadc96b11,,,,,METODOLOGIE DI PROGRAMMAZIONE,,,,,20,2,84.03,7.53,42,38,,88.1,26.79,2.56,22,1.49,93.33,8.54,
2013-2014,40,1.95,84.03,7.36,,,,,43,1.83,84.26,7.4,ebf305b5bf29,,,,,PROGRAMMAZIONE CONCORRENTE,,,,,48,2,82.11,7.25,48,52,,66.67,25.83,3.84,52,1.72,85.57,7.3,
2013-2014,77,2,81.46,7.68,,,,,87,1.18,99.31,9.12,bfe4b3521c4f,,,,,ANALISI I: CALCOLO DIFFERENZIALE ED INTEGRALE,,,,,92,1.77,93.12,8.09,65,83,,93.85,28.18,2.76,97,1.66,94.85,8.15,
2013-2014,20,1.65,90.16,7.87,,,,,25,1.28,96.77,8.66,7acf3f684e24,,,,,RETI DI CALCOLATORI,,,,,28,1.54,95.15,8.5,34,44,,91.18,27.65,2.8,29,1.1,100,8.89,
2013-2014,27,1.35,96.3,7.94,,,,,29,1.91,88.28,7.7,9000fdc450fb,,,,,INFORMATICA TEORICA,,,,,31,1.82,87.64,7.5,13,38,,38.46,23.08,3.27,32,2.35,78.13,6.59,
2013-2014,34,2.02,81.55,7.25,,,,,40,1.73,92.42,8.26,004dadc96b11,,,,,METODOLOGIE DI PROGRAMMAZIONE,,,,,42,2.1,84.71,7.56,50,42,,82,26.2,2.82,45,1.59,96.67,8.41,
2013-2014,34,1.83,86.27,7.34,,,,,41,1.6,94.58,8.05,074aa5f763ed,,,,,BASI DI DATI E SISTEMI INFORMATIVI,,,,,48,1.87,90.66,7.84,54,28,,51.85,24.39,3.71,52,1.73,89.32,7.77,
