coorte,test,voto_diploma,tipo_scuola,crediti_totali,crediti_con_voto,voto_medio,ASD,data_ASD,ARC,data_ARC,PRG,data_PRG,ANI,data_ANI,MDL,data_MDL,INGLESE,data_INGLESE,ALG,data_ALG,ANII,data_ANII,MP,data_MP,PC,data_PC,BDSI,data_BDSI,CPS,data_CPS,FIS,data_FIS,SO,data_SO,CAL,data_CAL,IT,data_IT,CS,data_CS,IntC,data_IntC,RETI,data_RETI,CAz,data_CAz
2010,17,86,IT,144,138,27,30,2011-07-06,25,2012-02-19,26,2011-09-23,30,2011-06-10,23,2011-07-26,0,2013-10-28,26,2012-01-13,0,0,28,2012-01-23,27,2012-09-22,27,2012-06-26,29,2013-06-10,0,0,28,2012-09-25,27,2013-09-09,23,2014-02-06,23,2013-07-19,0,0,28,2013-01-30,0,2013-09-17
2010,9,94,LS,18,18,22,22,2011-09-21,0,0,0,0,0,0,0,0,0,0000-00-00,21,2012-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,18,91,IT,150,144,28,28,2011-06-15,31,2012-02-19,31,2011-07-22,30,2011-07-01,27,2011-09-19,0,2013-11-11,31,2012-09-20,27,2014-02-28,31,2013-01-11,28,2012-03-06,31,2013-09-19,31,2013-07-01,0,0,27,2012-09-25,21,2013-07-22,30,2014-01-20,22,2013-07-31,0,0,28,2013-01-30,0,2014-02-07
2010,16,70,TC,69,66,23,23,2011-07-06,26,2013-06-12,26,2011-06-20,24,2012-02-24,0,0,0,2012-03-20,0,0,0,0,0,0,19,2013-02-26,0,0,0,0,0,0,21,2014-02-03,0,0,0,0,0,0,0,0,0,0,0,0
2010,12,81,IT,6,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10,72,IT,81,78,24,25,2011-07-06,22,2012-09-20,25,2011-09-23,24,2014-02-27,0,0,0,0,19,2013-02-05,0,0,24,2012-02-10,30,2013-07-19,0,0,0,0,0,0,24,2013-02-27,0,0,0,0,0,0,0,0,0,0,0,2013-08-01
2010,20,82,IT,24,24,27,27,2011-06-15,0,0,27,2011-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,12,60,IT,42,42,20,18,2011-07-26,0,0,18,2012-07-25,25,2012-07-06,0,0,0,0,0,0,18,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,15,75,TC,30,30,24,26,2011-07-26,0,0,25,2012-02-23,0,0,0,0,0,0,22,2012-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,9,80,IP,42,39,20,24,2011-09-21,0,0,0,0,20,2013-09-19,18,2013-09-10,0,2014-03-05,18,2012-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,14,0,,42,36,24,25,2011-07-06,0,0,25,2012-09-20,0,0,0,0,0,2011-05-10,21,2012-02-22,0,0,24,2013-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-07-09
2010,18,100,TC,12,12,30,0,0,0,0,0,0000-00-00,30,2011-07-26,0,0,0,0000-00-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000-00-00,0,0000-00-00
2011,18,68,IT,156,150,25,23,2013-02-19,30,2013-07-08,24,2013-01-16,26,2012-07-27,28,2014-01-13,0,2013-10-22,19,2013-03-04,18,2013-07-16,25,2014-07-02,25,2014-02-04,29,2014-01-21,28,2013-06-10,0,0,25,2014-02-03,28,2014-06-10,21,2015-02-24,23,2014-06-18,0,0,30,2015-01-22,0,2015-01-20
2011,14,91,IT,12,12,27,0,0,0,0,0,0,27,2012-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,74,AL,105,102,22,24,2014-02-17,0,0,22,2012-07-25,24,2012-07-06,26,2014-01-13,0,2012-11-13,20,2013-02-25,18,2013-07-16,25,2014-06-05,25,2014-02-04,21,2014-01-30,19,2013-07-01,0,0,23,2015-02-25,0,0,0,0,18,2014-07-24,0,0,0,0,0,0
2011,12,64,AL,27,24,22,23,2012-09-18,0,0,20,2012-09-20,0,0,0,0,0,2013-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,19,38,LS,120,114,26,28,2012-07-11,25,2013-07-08,28,2012-09-20,28,2013-09-19,22,2012-09-13,0,0000-00-00,24,2015-01-16,27,2014-06-30,26,2015-01-20,26,2014-02-04,0,0,21,2014-01-08,25,2014-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,14,70,LS,42,35,24,25,2012-09-21,0,0,0,0,26,2013-02-07,0,0,0,2014-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,83,IT,60,57,23,25,2012-09-21,20,2012-06-18,22,2012-09-20,26,2012-09-21,22,2012-07-12,0,2012-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,13,68,TC,126,126,25,28,2012-07-31,25,2012-07-17,30,2012-06-21,21,2013-02-21,25,2013-02-06,0,0,26,2014-10-28,30,2015-01-14,24,2013-06-26,20,2014-02-04,28,2013-06-28,23,2013-06-10,0,0,25,2013-09-25,0,0,0,0,19,2015-03-02,0,0,28,2014-03-06,0,0
2011,16,93,IT,117,114,22,23,2012-07-11,21,2013-02-18,22,2012-07-25,20,2014-02-27,20,2013-07-04,0,2012-01-19,26,2014-01-16,18,2014-08-01,24,2014-01-22,27,2013-02-19,21,2014-09-26,21,2014-07-14,0,0,22,2013-09-25,0,0,0,0,0,0,0,0,27,2015-01-22,0,0
2011,0,69,LS,69,63,23,25,2012-06-19,0,0,22,2012-07-10,24,2013-02-07,0,0,0,2013-03-04,21,2014-09-23,18,2014-07-14,25,2013-09-11,26,2013-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-09-05
2011,16,96,IT,27,24,23,20,2012-09-18,0,0,25,2013-07-31,0,0,0,0,0,2012-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,75,IT,36,36,26,27,2012-09-18,0,0,27,2012-09-20,24,2012-07-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,10,78,LS,72,69,21,20,2013-09-19,0,0,22,2013-07-18,22,2013-06-27,0,0,0,2013-10-22,18,2015-02-16,18,2014-07-23,24,2015-01-20,22,2014-02-04,0,0,18,2014-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,14,69,LS,54,51,22,21,2014-07-17,0,0,22,2014-02-04,22,2014-07-23,0,0,0,2015-02-05,22,2015-01-16,0,0,0,0,22,2015-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
